Congress,ICPSR ID,State Code,District,State,Party,Name,1st Dimension,2nd Dimension,1st Dimension S.E.,2nd Dimension S.E.,Correlation,Log-likelihood,Votes,Classification Errors,Geometric Mean Probability
108,94828,49,4,TEXAS,200,HALL,0.532,0.273,0.084,0.162,-0.15,-75.3615,359,27,0.811
108,14230,31,0,IOWA,100,HARKIN,-0.533,0.109,0.017,0.188,0.245,-66.42757,500,28,0.876
108,29318,71,36,CALIFOR,100,HARMAN,-0.263,-0.105,0.047,0.05,-0.252,-157.15979,799,61,0.821
108,20314,43,13,FLORIDA,200,HARRIS,0.602,-0.319,0.132,0.064,0.041,-84.9606,827,34,0.902
108,20133,14,4,PENNSYL,200,HART,0.549,-0.095,0.112,0.084,-0.208,-131.98651,832,50,0.853
108,15417,21,14,ILLINOI,200,HASTERT,0.561,0.032,0.068,0.208,0.227,-5.10899,124,1,0.96
108,29337,43,23,FLORIDA,100,HASTINGS,-0.565,0.223,0.014,0.186,-0.168,-132.76756,680,47,0.823
108,29580,73,4,WASHING,200,HASTINGS,0.574,0.107,0.088,0.067,-0.136,-97.06229,822,40,0.889
108,14503,67,0,UTAH,200,HATCH,0.355,-0.007,0.016,0.092,0.251,-44.87662,519,17,0.917
108,29929,47,8,NORTH C,200,HAYES,0.471,0.288,0.085,0.166,-0.075,-110.95854,831,44,0.875
108,29502,61,5,ARIZONA,200,HAYWORTH,0.679,0.054,0.085,0.106,-0.13,-132.4481,815,60,0.85
108,15419,62,5,COLORAD,200,HEFLEY,0.774,0.436,0.061,0.3,-0.408,-290.23138,831,120,0.705
